#gene	refseq	ensembl
OR4F5	NM_001005484.2	ENST00000641515.2
CRYBG1	NM_001371242.2	ENST00000633556.3
RTN4IP1	NM_032730.5	ENST00000369063.8
QRSL1	NM_018292.5	ENST00000369046.8
CD24	NM_001359084.1	ENST00000606017.2
MTRES1	NM_016487.5	ENST00000311381.8
BEND3	NM_001367314.1	ENST00000369042.6
PDSS2	NM_020381.4	ENST00000369037.9
SOBP	NM_018013.4	ENST00000317357.10
SCML4	NM_198081.5	ENST00000369020.8
SEC63	NM_007214.5	ENST00000369002.9
OSTM1	NM_014028.4	ENST00000193322.8
NR2E1	NM_003269.5	ENST00000368986.9
SNX3	NM_003795.6	ENST00000230085.13
AFG1L	NM_145315.5	ENST00000368977.9
FOXO3	NM_001455.4	ENST00000406360.2
ARMC2	NM_032131.6	ENST00000392644.9
SESN1	NM_014454.3	ENST00000436639.7
CEP57L1	NM_001271852.3	ENST00000517392.6
CD164	NM_006016.6	ENST00000310786.10
PPIL6	NM_173672.5	ENST00000521072.7
SMPD2	NM_003080.3	ENST00000258052.8
MICAL1	NM_022765.4	ENST00000358807.8
ZBTB24	NM_014797.3	ENST00000230122.4
AK9	NM_001145128.3	ENST00000424296.7
FIG4	NM_014845.6	ENST00000230124.8
GPR6	NM_005284.5	ENST00000275169.5
WASF1	NM_003931.3	ENST00000392589.6
CDC40	NM_015891.3	ENST00000307731.2
METTL24	NM_001123364.3	ENST00000338882.5
DDO	NM_001372108.2	ENST00000368924.9
SLC22A16	NM_033125.4	ENST00000368919.8
CDK19	NM_015076.5	ENST00000368911.8
AMD1	NM_001634.6	ENST00000368885.8
GTF3C6	NM_138408.4	ENST00000329970.8
RPF2	NM_032194.3	ENST00000441448.7
SLC16A10	NM_018593.5	ENST00000368851.10
MFSD4B	NM_153369.4	ENST00000671876.2
REV3L	NM_001372078.1	ENST00000368802.8
TRAF3IP2	NM_147686.4	ENST00000368761.11
FYN	NM_002037.5	ENST00000354650.7
CCN6	NM_198239.2	ENST00000368666.7
TUBE1	NM_016262.5	ENST00000368662.10
FAM229B	NM_001033564.3	ENST00000368656.7
LAMA4	NM_001105206.3	ENST00000230538.12
RFPL4B	NM_001013734.3	ENST00000441065.3
MARCKS	NM_002356.7	ENST00000612661.2
HDAC2	NM_001527.4	ENST00000519065.6
HS3ST5	NM_153612.4	ENST00000312719.10
FRK	NM_002031.3	ENST00000606080.2
NT5DC1	NM_152729.3	ENST00000319550.9
COL10A1	NM_000493.4	ENST00000651968.1
TSPYL4	NM_021648.5	ENST00000420283.3
DSE	NM_013352.4	ENST00000644252.3
TSPYL1	NM_003309.4	ENST00000368608.4
CALHM6	NM_001010919.3	ENST00000368605.3
TRAPPC3L	NM_001139444.3	ENST00000368602.4
CALHM5	NM_153711.5	ENST00000368599.4
CALHM4	NM_001366078.2	ENST00000368596.4
RWDD1	NM_015952.4	ENST00000466444.7
RSPH4A	NM_001010892.3	ENST00000229554.10
ZUP1	NM_145062.3	ENST00000368576.8
KPNA5	NM_001366306.2	ENST00000368564.7
FAM162B	NM_001085480.3	ENST00000368557.6
GPRC6A	NM_148963.4	ENST00000310357.8
RFX6	NM_173560.4	ENST00000332958.3
VGLL2	NM_182645.3	ENST00000326274.6
ROS1	NM_001378902.1	ENST00000368507.8
DCBLD1	NM_001366458.2	ENST00000338728.10
GOPC	NM_020399.4	ENST00000368498.7
NUS1	NM_138459.5	ENST00000368494.4
SLC35F1	NM_001029858.4	ENST00000360388.9
CEP85L	NM_001042475.3	ENST00000368491.8
PLN	NM_002667.5	ENST00000357525.6
MCM9	NM_017696.3	ENST00000619706.5
ASF1A	NM_014034.3	ENST00000229595.6
FAM184A	NM_024581.6	ENST00000338891.12
MAN1A1	NM_005907.4	ENST00000368468.4
TBC1D32	NM_152730.6	ENST00000398212.7
GJA1	NM_000165.5	ENST00000282561.4
HSF2	NM_004506.4	ENST00000368455.9
SERINC1	NM_020755.4	ENST00000339697.5
PKIB	NM_181795.3	ENST00000368452.7
FABP7	NM_001446.5	ENST00000368444.8
SMPDL3A	NM_006714.5	ENST00000368440.5
CLVS2	NM_001010852.4	ENST00000275162.10
TRDN	NM_006073.4	ENST00000334268.9
NKAIN2	NM_001040214.3	ENST00000368417.6
RNF217	NM_001286398.3	ENST00000521654.7
TPD52L1	NM_003287.4	ENST00000534000.6
HDDC2	NM_016063.3	ENST00000398153.7
HEY2	NM_012259.3	ENST00000368364.4
NCOA7	NM_181782.5	ENST00000392477.7
HINT3	NM_138571.5	ENST00000229633.7
TRMT11	NM_001031712.3	ENST00000334379.11
CENPW	NM_001012507.4	ENST00000368328.5
RSPO3	NM_032784.5	ENST00000356698.9
RNF146	NM_001242850.2	ENST00000368314.6
ECHDC1	NM_001002030.2	ENST00000454859.8
KIAA0408	NM_014702.5	ENST00000483725.8
MTCL3	NM_001400265.1	ENST00000525778.6
C6orf58	NM_001010905.3	ENST00000329722.8
THEMIS	NM_001010923.3	ENST00000368248.5
PTPRK	NM_002844.4	ENST00000368226.9
LAMA2	NM_000426.4	ENST00000421865.3
ARHGAP18	NM_033515.3	ENST00000368149.3
TMEM244	NM_001010876.2	ENST00000368143.6
L3MBTL3	NM_032438.4	ENST00000361794.7
SAMD3	NM_001017373.4	ENST00000439090.7
TMEM200A	NM_001258277.2	ENST00000296978.4
SMLR1	NM_001195597.2	ENST00000541421.2
EPB41L2	NM_001431.4	ENST00000337057.8
AKAP7	NM_016377.4	ENST00000431975.7
ARG1	NM_000045.4	ENST00000368087.8
MED23	NM_004830.4	ENST00000368068.8
ENPP3	NM_005021.5	ENST00000357639.8
OR2A4	NM_030908.2	ENST00000315453.4
CTAGE9	NM_001145659.1	ENST00000314099.10
ENPP1	NM_006208.3	ENST00000647893.1
CCN2	NM_001901.4	ENST00000367976.4
MOXD1	NM_015529.4	ENST00000367963.8
STX7	NM_003569.3	ENST00000367941.7
TAAR9	NM_175057.4	ENST00000434551.3
TAAR8	NM_053278.3	ENST00000275200.2
TAAR6	NM_175067.1	ENST00000275198.1
TAAR5	NM_003967.3	ENST00000258034.4
TAAR2	NM_001033080.1	ENST00000367931.1
TAAR1	NM_138327.4	ENST00000275216.3
VNN1	NM_004666.3	ENST00000367928.5
VNN2	NM_004665.6	ENST00000326499.11
SLC18B1	NM_052831.3	ENST00000275227.9
RPS12	NM_001016.4	ENST00000230050.4
EYA4	NM_004100.5	ENST00000355286.12
TCF21	NM_003206.4	ENST00000367882.5
TBPL1	NM_004865.4	ENST00000237264.9
LOC128092253	NM_001414965.1	ENST00000674115.1
SLC2A12	NM_145176.3	ENST00000275230.6
SGK1	NM_001143676.3	ENST00000367858.10
ALDH8A1	NM_022568.4	ENST00000265605.7
HBS1L	NM_006620.4	ENST00000367837.10
MYB	NM_001130173.2	ENST00000341911.10
AHI1	NM_001134831.2	ENST00000265602.11
PDE7B	NM_018945.4	ENST00000308191.11
MTFR2	NM_001099286.3	ENST00000420702.6
BCLAF1	NM_014739.3	ENST00000531224.6
MAP7	NM_003980.6	ENST00000354570.8
MAP3K5	NM_005923.4	ENST00000359015.5
PEX7	NM_000288.4	ENST00000318471.5
SLC35D3	NM_001008783.3	ENST00000331858.5
IL20RA	NM_014432.4	ENST00000316649.10
IL22RA2	NM_052962.3	ENST00000296980.7
IFNGR1	NM_000416.3	ENST00000367739.9
OLIG3	NM_175747.2	ENST00000367734.4
TNFAIP3	NM_001270508.2	ENST00000612899.5
PERP	NM_022121.5	ENST00000421351.4
ARFGEF3	NM_020340.5	ENST00000251691.5
PBOV1	NM_021635.3	ENST00000527246.3
SMIM28	NM_001368163.3	ENST00000573100.2
HEBP2	NM_014320.3	ENST00000607197.6
NHSL1	NM_001144060.2	ENST00000343505.10
CCDC28A	NM_015439.3	ENST00000617445.5
ECT2L	NM_001077706.3	ENST00000541398.7
REPS1	NM_001286611.2	ENST00000450536.7
ABRACL	NM_021243.3	ENST00000367660.4
HECA	NM_016217.3	ENST00000367658.3
TXLNB	NM_153235.4	ENST00000358430.8
CITED2	NM_006079.5	ENST00000367651.4
NMBR	NM_002511.4	ENST00000258042.2
GJE1	NM_001358410.2	ENST00000450456.3
VTA1	NM_016485.5	ENST00000367630.9
ADGRG6	NM_198569.3	ENST00000367609.8
HIVEP2	NM_006734.4	ENST00000367603.8
AIG1	NM_016108.4	ENST00000357847.9
ADAT2	NM_182503.3	ENST00000237283.9
PEX3	NM_003630.3	ENST00000367591.5
FUCA2	NM_032020.5	ENST00000002165.11
PHACTR2	NM_001100164.2	ENST00000440869.7
LTV1	NM_032860.5	ENST00000367576.6
ZC2HC1B	NM_001013623.3	ENST00000237275.9
PLAGL1	NM_001317162.2	ENST00000674357.1
SF3B5	NM_031287.3	ENST00000367569.4
STX11	NM_003764.4	ENST00000367568.5
UTRN	NM_007124.3	ENST00000367545.8
EPM2A	NM_005670.4	ENST00000367519.9
FBXO30	NM_032145.5	ENST00000237281.5
SHPRH	NM_001042683.3	ENST00000275233.12
GRM1	NM_001278064.2	ENST00000282753.6
RAB32	NM_006834.5	ENST00000367495.4
ADGB	NM_024694.4	ENST00000397944.8
STXBP5	NM_001127715.4	ENST00000321680.11
SAMD5	NM_001030060.3	ENST00000367474.2
SASH1	NM_015278.5	ENST00000367467.8
UST	NM_005715.3	ENST00000367463.5
TAB2	NM_001292034.3	ENST00000637181.2
SUMO4	NM_001002255.2	ENST00000326669.6
ZC3H12D	NM_207360.3	ENST00000409806.8
PPIL4	NM_139126.4	ENST00000253329.3
GINM1	NM_138785.5	ENST00000367419.10
KATNA1	NM_007044.4	ENST00000367411.7
LATS1	NM_004690.4	ENST00000543571.6
NUP43	NM_198887.3	ENST00000340413.7
PCMT1	NM_001360452.2	ENST00000464889.7
LRP11	NM_032832.6	ENST00000239367.7
RAET1E	NM_001394057.1	ENST00000357183.9
RAET1G	NM_001001788.4	ENST00000367360.7
ULBP2	NM_025217.4	ENST00000367351.4
ULBP1	NM_025218.4	ENST00000229708.4
RAET1L	NM_130900.3	ENST00000367341.6
ULBP3	NM_024518.3	ENST00000367339.7
PPP1R14C	NM_030949.3	ENST00000361131.5
IYD	NM_203395.3	ENST00000344419.8
PLEKHG1	NM_001029884.3	ENST00000696526.1
MTHFD1L	NM_015440.5	ENST00000367321.8
AKAP12	NM_005100.4	ENST00000402676.7
ZBTB2	NM_020861.3	ENST00000325144.5
RMND1	NM_017909.4	ENST00000444024.3
ARMT1	NM_024573.3	ENST00000367294.4
CCDC170	NM_025059.4	ENST00000239374.8
ESR1	NM_000125.4	ENST00000206249.8
SYNE1	NM_182961.4	ENST00000367255.10
MYCT1	NM_025107.3	ENST00000367245.6
VIP	NM_003381.4	ENST00000367244.8
FBXO5	NM_012177.5	ENST00000229758.8
MTRF1L	NM_019041.7	ENST00000367233.10
RGS17	NM_012419.5	ENST00000206262.2
OPRM1	NM_000914.5	ENST00000330432.12
IPCEF1	NM_001130700.2	ENST00000367220.9
CNKSR3	NM_173515.4	ENST00000607772.6
SCAF8	NM_014892.5	ENST00000367178.8
TIAM2	NM_012454.4	ENST00000682666.1
TFB1M	NM_016020.4	ENST00000367166.5
CLDN20	NM_001001346.3	ENST00000367165.3
NOX3	NM_015718.3	ENST00000159060.3
ARID1B	NM_001374828.1	ENST00000636930.2
TMEM242	NM_018452.6	ENST00000400788.9
ZDHHC14	NM_024630.3	ENST00000359775.10
SNX9	NM_016224.5	ENST00000392185.8
SYNJ2	NM_003898.4	ENST00000355585.9
SERAC1	NM_032861.4	ENST00000647468.2
GTF2H5	NM_207118.3	ENST00000607778.2
TULP4	NM_020245.5	ENST00000367097.8
TMEM181	NM_001376852.1	ENST00000684151.1
DYNLT1	NM_006519.4	ENST00000367089.8
SYTL3	NM_001242394.2	ENST00000611299.5
EZR	NM_001111077.2	ENST00000367075.4
RSPH3	NM_031924.8	ENST00000367069.7
TAGAP	NM_054114.5	ENST00000367066.8
FNDC1	NM_032532.3	ENST00000297267.14
SOD2	NM_000636.4	ENST00000538183.7
WTAP	NM_001270531.2	ENST00000621533.5
ACAT2	NM_005891.3	ENST00000367048.5
TCP1	NM_030752.3	ENST00000321394.12
MRPL18	NM_014161.5	ENST00000367034.5
PNLDC1	NM_001271862.2	ENST00000392167.4
MAS1	NM_002377.4	ENST00000674077.2
IGF2R	NM_000876.4	ENST00000356956.6
SLC22A1	NM_003057.3	ENST00000366963.9
SLC22A2	NM_003058.4	ENST00000366953.8
SLC22A3	NM_021977.4	ENST00000275300.3
LPA	NM_005577.4	ENST00000316300.10
PLG	NM_000301.5	ENST00000308192.14
MAP3K4	NM_005922.4	ENST00000392142.9
AGPAT4	NM_020133.3	ENST00000320285.9
PRKN	NM_004562.3	ENST00000366898.6
PACRG	NM_001080379.2	ENST00000366888.7
QKI	NM_006775.3	ENST00000361752.8
C6orf118	NM_144980.4	ENST00000230301.9
PDE10A	NM_001385079.1	ENST00000539869.4
TBXT	NM_001366285.2	ENST00000366876.7
PRR18	NM_175922.4	ENST00000322583.5
SFT2D1	NM_145169.3	ENST00000361731.4
MPC1	NM_016098.4	ENST00000360961.11
RPS6KA2	NM_021135.6	ENST00000265678.9
RAMACL	NM_001395999.1	ENST00000444122.3
RNASET2	NM_003730.6	ENST00000508775.6
CEP43	NM_007045.4	ENST00000366847.9
CCR6	NM_031409.4	ENST00000341935.10
GPR31	NM_005299.3	ENST00000366834.2
UNC93A	NM_018974.4	ENST00000230256.8
TTLL2	NM_031949.5	ENST00000239587.10
AFDN	NM_001386888.1	ENST00000683244.1
KIF25	NM_030615.4	ENST00000643607.3
FRMD1	NM_024919.6	ENST00000283309.11
DACT2	NM_214462.5	ENST00000366795.4
SMOC2	NM_001166412.2	ENST00000356284.7
THBS2	NM_003247.5	ENST00000617924.6
WDR27	NM_182552.5	ENST00000448612.6
C6orf120	NM_001029863.3	ENST00000332290.4
PHF10	NM_018288.4	ENST00000339209.9
DYNLT2	NM_174910.3	ENST00000366774.4
ERMARD	NM_018341.3	ENST00000366773.8
DLL1	NM_005618.4	ENST00000366756.4
FAM120B	NM_032448.3	ENST00000476287.4
PSMB1	NM_002793.4	ENST00000262193.7
TBP	NM_003194.5	ENST00000392092.7
PDCD2	NM_002598.4	ENST00000541970.6
FAM20C	NM_020223.4	ENST00000313766.6
FOXL3	NM_001374838.1	ENST00000506382.2
PDGFA	NM_033023.5	ENST00000402802.8
PRKAR1B	NM_001164760.2	ENST00000537384.6
DNAAF5	NM_017802.4	ENST00000297440.11
SUN1	NM_001130965.3	ENST00000401592.6
GET4	NM_015949.3	ENST00000265857.8
ADAP1	NM_006869.4	ENST00000265846.10
COX19	NM_001031617.3	ENST00000344111.4
C7orf50	NM_001318252.2	ENST00000397098.8
CYP2W1	NM_017781.3	ENST00000308919.12
GPR146	NM_001303473.2	ENST00000444847.2
GPER1	NM_001098201.3	ENST00000397088.4
ZFAND2A	NM_182491.4	ENST00000316495.8
UNCX	NM_001080461.3	ENST00000316333.9
MICALL2	NM_182924.4	ENST00000297508.8
INTS1	NM_001080453.3	ENST00000404767.8
MAFK	NM_002360.4	ENST00000343242.9
TMEM184A	NM_001097620.2	ENST00000297477.10
PSMG3	NM_032302.4	ENST00000288607.3
ELFN1	NM_001128636.4	ENST00000424383.5
MAD1L1	NM_001013836.2	ENST00000265854.12
MRM2	NM_013393.3	ENST00000242257.14
NUDT1	NM_002452.4	ENST00000356714.6
SNX8	NM_013321.4	ENST00000222990.8
EIF3B	NM_001037283.2	ENST00000360876.9
CHST12	NM_018641.5	ENST00000618655.2
GRIFIN	NM_001394787.1	ENST00000614228.2
LFNG	NM_001040167.2	ENST00000222725.10
BRAT1	NM_152743.4	ENST00000340611.9
IQCE	NM_152558.5	ENST00000402050.7
TTYH3	NM_025250.3	ENST00000258796.12
AMZ1	NM_001384743.1	ENST00000683327.1
GNA12	NM_007353.3	ENST00000275364.8
CARD11	NM_032415.7	ENST00000396946.9
SDK1	NM_152744.4	ENST00000404826.7
FOXK1	NM_001037165.2	ENST00000328914.5
AP5Z1	NM_014855.3	ENST00000649063.2
RADIL	NM_018059.5	ENST00000399583.4
PAPOLB	NM_020144.5	ENST00000404991.2
MMD2	NM_198403.4	ENST00000401401.8
RBAK	NM_021163.4	ENST00000396912.2
WIPI2	NM_015610.4	ENST00000288828.9
SLC29A4	NM_153247.4	ENST00000396872.8
TNRC18	NM_001080495.3	ENST00000430969.6
FBXL18	NM_024963.6	ENST00000382368.8
ACTB	NM_001101.5	ENST00000646664.1
FSCN1	NM_003088.4	ENST00000382361.8
RNF216	NM_207111.4	ENST00000389902.8
OCM	NM_001097622.2	ENST00000242104.6
CCZ1	NM_015622.6	ENST00000325974.9
RSPH10B	NM_173565.5	ENST00000404406.6
PMS2	NM_000535.7	ENST00000265849.12
AIMP2	NM_006303.4	ENST00000223029.8
EIF2AK1	NM_014413.4	ENST00000199389.11
ANKRD61	NM_001271700.2	ENST00000409061.2
USP42	NM_032172.3	ENST00000306177.10
CYTH3	NM_004227.4	ENST00000350796.8
FAM220A	NM_001037163.2	ENST00000313324.9
SMIM10L3	NM_001395995.1	ENST00000578372.2
RAC1	NM_006908.5	ENST00000348035.9
DAGLB	NM_139179.4	ENST00000297056.11
KDELR2	NM_006854.4	ENST00000258739.9
GRID2IP	NM_001145118.2	ENST00000457091.3
ZDHHC4	NM_001134389.2	ENST00000335965.11
INTS15	NM_024067.4	ENST00000344417.10
ZNF853	NM_017560.3	ENST00000457543.4
ZNF316	NM_001278559.2	ENST00000382252.6
ZNF12	NM_016265.4	ENST00000405858.6
RSPH10B2	NM_001099697.2	ENST00000404077.6
CCZ1B	NM_198097.5	ENST00000316731.13
C1GALT1	NM_020156.5	ENST00000436587.7
COL28A1	NM_001037763.3	ENST00000399429.8
MIOS	NM_019005.4	ENST00000340080.9
RPA3	NM_002947.5	ENST00000223129.8
UMAD1	NM_001302348.2	ENST00000682710.1
GLCCI1	NM_138426.4	ENST00000223145.10
ICA1	NM_001136020.3	ENST00000402384.8
NXPH1	NM_152745.3	ENST00000405863.6
NDUFA4	NM_002489.4	ENST00000339600.6
PHF14	NM_001007157.2	ENST00000634607.2
THSD7A	NM_015204.3	ENST00000423059.9
TMEM106B	NM_001134232.2	ENST00000396668.8
VWDE	NM_001135924.3	ENST00000275358.8
C7orf78	NM_001386514.1	ENST00000636804.2
SCIN	NM_001112706.3	ENST00000297029.10
ARL4A	NM_005738.5	ENST00000651779.1
ETV1	NM_004956.5	ENST00000430479.6
DGKB	NM_001350709.2	ENST00000402815.6
AGMO	NM_001004320.2	ENST00000342526.8
MEOX2	NM_005924.5	ENST00000262041.6
CRPPA	NM_001101426.4	ENST00000407010.7
SOSTDC1	NM_015464.3	ENST00000307068.5
LRRC72	NM_001195280.2	ENST00000401542.3
ANKMY2	NM_020319.3	ENST00000306999.7
BZW2	NM_014038.3	ENST00000258761.8
TSPAN13	NM_014399.4	ENST00000262067.5
AGR2	NM_006408.4	ENST00000419304.7
AGR3	NM_176813.5	ENST00000310398.7
AHR	NM_001621.5	ENST00000242057.9
SNX13	NM_015132.5	ENST00000428135.7
PRPS1L1	NM_175886.3	ENST00000506618.5
HDAC9	NM_178425.4	ENST00000686413.1
TWIST1	NM_000474.4	ENST00000242261.6
FERD3L	NM_152898.2	ENST00000275461.3
POLR1F	NM_001002926.2	ENST00000222567.6
TMEM196	NM_001363562.2	ENST00000405844.6
MACC1	NM_182762.4	ENST00000400331.10
ITGB8	NM_002214.3	ENST00000222573.5
ABCB5	NM_001163941.2	ENST00000404938.7
SP8	NM_182700.6	ENST00000418710.3
SP4	NM_003112.5	ENST00000222584.8
DNAH11	NM_001277115.2	ENST00000409508.8
CDCA7L	NM_018719.5	ENST00000406877.8
RAPGEF5	NM_012294.5	ENST00000665637.1
STEAP1B	NM_001382447.1	ENST00000678116.1
IL6	NM_000600.5	ENST00000258743.10
TOMM7	NM_019059.5	ENST00000358435.9
HYCC1	NM_032581.4	ENST00000432176.7
KLHL7	NM_001031710.3	ENST00000339077.10
NUP42	NM_007342.3	ENST00000258742.10
GPNMB	NM_002510.3	ENST00000258733.9
MALSU1	NM_138446.2	ENST00000466681.2
IGF2BP3	NM_006547.3	ENST00000258729.8
TRA2A	NM_013293.5	ENST00000297071.9
CCDC126	NM_138771.4	ENST00000307471.8
FAM221A	NM_199136.5	ENST00000344962.9
STK31	NM_031414.5	ENST00000355870.8
NPY	NM_000905.4	ENST00000242152.7
PALS2	NM_001303037.2	ENST00000222644.10
GSDME	NM_001127453.2	ENST00000645220.1
OSBPL3	NM_015550.4	ENST00000313367.7
CYCS	NM_018947.6	ENST00000305786.7
SPMIP4	NM_138811.4	ENST00000283905.8
NPVF	NM_022150.3	ENST00000222674.2
NFE2L3	NM_004289.7	ENST00000056233.4
HNRNPA2B1	NM_002137.4	ENST00000618183.5
CBX3	NM_016587.4	ENST00000396386.7
SNX10	NM_013322.3	ENST00000338523.9
SKAP2	NM_003930.5	ENST00000345317.7
HOXA1	NM_005522.5	ENST00000643460.2
HOXA2	NM_006735.4	ENST00000222718.7
HOXA3	NM_153631.3	ENST00000612286.5
HOXA4	NM_002141.5	ENST00000360046.10
HOXA5	NM_019102.4	ENST00000222726.4
HOXA6	NM_024014.4	ENST00000222728.3
HOXA7	NM_006896.4	ENST00000242159.5
HOXA9	NM_152739.4	ENST00000343483.7
HOXA10	NM_018951.4	ENST00000283921.5
HOXA11	NM_005523.6	ENST00000006015.4
HOXA13	NM_000522.5	ENST00000649031.1
EVX1	NM_001989.5	ENST00000496902.7
HIBADH	NM_152740.4	ENST00000265395.7
TAX1BP1	NM_006024.7	ENST00000396319.7
JAZF1	NM_175061.4	ENST00000283928.10
CREB5	NM_182898.4	ENST00000357727.7
TRIL	NM_014817.4	ENST00000539664.3
CPVL	NM_031311.5	ENST00000265394.10
CHN2	NM_004067.4	ENST00000222792.11
PRR15	NM_175887.3	ENST00000319694.3
WIPF3	NM_001080529.3	ENST00000242140.10
SCRN1	NM_014766.5	ENST00000242059.10
FKBP14	NM_017946.4	ENST00000222803.10
PLEKHA8	NM_001197026.2	ENST00000449726.6
MTURN	NM_152793.3	ENST00000324453.13
ZNRF2	NM_147128.4	ENST00000323037.5
NOD1	NM_006092.4	ENST00000222823.9
GGCT	NM_024051.4	ENST00000275428.9
GARS1	NM_002047.4	ENST00000389266.8
CRHR2	NM_001883.5	ENST00000471646.6
INMT	NM_006774.5	ENST00000013222.5
MINDY4	NM_032222.3	ENST00000265299.6
AQP1	NM_198098.4	ENST00000311813.11
GHRHR	NM_000823.4	ENST00000326139.7
ADCYAP1R1	NM_001118.5	ENST00000304166.9
NEUROD6	NM_022728.4	ENST00000297142.4
ITPRID1	NM_001257967.3	ENST00000615280.5
PDE1C	NM_001191057.4	ENST00000396191.6
PPP1R17	NM_006658.5	ENST00000342032.8
LSM5	NM_012322.3	ENST00000450169.7
AVL9	NM_015060.3	ENST00000318709.9
KBTBD2	NM_015483.3	ENST00000304056.9
FKBP9	NM_007270.5	ENST00000242209.9
NT5C3A	NM_001002010.5	ENST00000610140.7
RP9	NM_203288.2	ENST00000297157.8
BBS9	NM_198428.3	ENST00000242067.11
BMPER	NM_001365308.1	ENST00000649409.2
NPSR1	NM_207172.2	ENST00000360581.6
DPY19L1	NM_001366673.1	ENST00000638088.2
TBX20	NM_001077653.2	ENST00000408931.4
HERPUD2	NM_022373.5	ENST00000311350.8
SEPTIN7	NM_001788.6	ENST00000350320.11
EEPD1	NM_030636.3	ENST00000242108.9
MATCAP2	NM_001199706.2	ENST00000440378.6
ANLN	NM_018685.5	ENST00000265748.7
AOAH	NM_001637.4	ENST00000617537.5
ELMO1	NM_014800.11	ENST00000310758.9
GPR141	NM_001381946.1	ENST00000334425.2
NME8	NM_016616.5	ENST00000199447.9
SFRP4	NM_003014.4	ENST00000436072.7
EPDR1	NM_017549.5	ENST00000199448.9
STARD3NL	NM_032016.4	ENST00000009041.12
TARP	NM_001003799.2	ENST00000698248.1
AMPH	NM_001635.4	ENST00000356264.7
VPS41	NM_014396.4	ENST00000310301.9
POU6F2	NM_001370959.1	ENST00000518318.7
YAE1	NM_020192.5	ENST00000223273.7
RALA	NM_005402.4	ENST00000005257.7
CDK13	NM_003718.5	ENST00000181839.10
MPLKIP	NM_138701.4	ENST00000306984.8
SUGCT	NM_001193313.2	ENST00000335693.9
INHBA	NM_002192.4	ENST00000242208.5
GLI3	NM_000168.6	ENST00000395925.8
C7orf25	NM_001099858.2	ENST00000350427.5
PSMA2	NM_002787.5	ENST00000223321.9
MRPL32	NM_031903.3	ENST00000223324.3
HECW1	NM_015052.5	ENST00000395891.7
STK17A	NM_004760.3	ENST00000319357.6
COA1	NM_018224.4	ENST00000223336.11
BLVRA	NM_000712.4	ENST00000265523.9
MRPS24	NM_032014.3	ENST00000317534.6
URGCP	NM_001077663.3	ENST00000453200.6
UBE2D4	NM_015983.4	ENST00000222402.8
SPDYE1	NM_001378423.2	ENST00000693451.1
DBNL	NM_001014436.3	ENST00000448521.6
PGAM2	NM_000290.4	ENST00000297283.4
POLM	NM_013284.4	ENST00000242248.10
AEBP1	NM_001129.5	ENST00000223357.8
POLD2	NM_006230.4	ENST00000610533.6
MYL7	NM_021223.3	ENST00000223364.7
GCK	NM_000162.5	ENST00000403799.8
YKT6	NM_006555.4	ENST00000223369.3
CAMK2B	NM_001220.5	ENST00000395749.7
NUDCD3	NM_015332.4	ENST00000355451.8
NPC1L1	NM_001101648.2	ENST00000381160.8
DDX56	NM_019082.4	ENST00000258772.10
TMED4	NM_182547.4	ENST00000457408.7
OGDH	NM_002541.4	ENST00000222673.6
ZMIZ2	NM_031449.4	ENST00000309315.9
PPIA	NM_021130.5	ENST00000468812.6
H2AZ2	NM_012412.5	ENST00000308153.9
PURB	NM_033224.5	ENST00000395699.5
MYO1G	NM_033054.3	ENST00000258787.12
CCM2	NM_031443.4	ENST00000258781.11
NACAD	NM_001146334.2	ENST00000490531.3
TBRG4	NM_004749.4	ENST00000258770.8
RAMP3	NM_005856.3	ENST00000242249.8
ADCY1	NM_021116.4	ENST00000297323.12
CCDC201	NM_001395235.1	ENST00000636578.2
IGFBP1	NM_000596.4	ENST00000275525.8
IGFBP3	NM_000598.5	ENST00000613132.5
TNS3	NM_022748.12	ENST00000311160.14
PKD1L1	NM_138295.5	ENST00000289672.7
HUS1	NM_004507.4	ENST00000258774.10
SUN3	NM_001030019.2	ENST00000297325.9
C7orf57	NM_001100159.3	ENST00000348904.4
UPP1	NM_003364.4	ENST00000395564.9
ABCA13	NM_152701.5	ENST00000435803.6
CDC14C	NM_152627.3	ENST00000650262.2
VWC2	NM_198570.5	ENST00000340652.5
ZPBP	NM_007009.3	ENST00000046087.7
SPMIP7	NM_001161834.3	ENST00000297001.7
IKZF1	NM_006060.6	ENST00000331340.8
FIGNL1	NM_001287492.4	ENST00000433017.6
DDC	NM_001082971.2	ENST00000444124.7
GRB10	NM_001350814.2	ENST00000401949.6
COBL	NM_015198.5	ENST00000265136.12
POM121L12	NM_182595.4	ENST00000408890.6
VSTM2A	NM_001301009.2	ENST00000402613.4
SEC61G	NM_014302.4	ENST00000352861.9
EGFR	NM_005228.5	ENST00000275493.7
LANCL2	NM_018697.4	ENST00000254770.3
VOPP1	NM_030796.5	ENST00000285279.10
SEPTIN14	NM_207366.3	ENST00000388975.4
ZNF713	NM_182633.3	ENST00000429591.4
MRPS17	NM_015969.3	ENST00000285298.9
NIPSNAP2	NM_001483.3	ENST00000322090.8
PSPH	NM_004577.4	ENST00000275605.8
CCT6A	NM_001762.4	ENST00000275603.9
SUMF2	NM_015411.4	ENST00000434526.8
PHKG1	NM_006213.5	ENST00000297373.7
CHCHD2	NM_016139.4	ENST00000395422.4
NUPR2	NM_001145712.2	ENST00000329309.4
